name,yearAdopted,validity,incomeTax,estateTax,transferSalesTax,directAscendingTax,directDescendingTax,collateralLineTax,nonRelativeTax,taxCompanyRealEstate,dogTax,"entertainmentTax
"
Le Brassus (fraction),2019.00,2021.00,8.00,-,-,-,-,-,-,-,-,-
Le Chenit,2019.00,2020.00,58.50,1.00,50.00,100.00,100.00,100.00,100.00,50.00,1.-p/Fr,-
Le Lieu,2019.00,2022.00,70.00,0.80,50.00,-,-,100.00,100.00,-,1.-p/Fr,-
Le Mont-sur-Lausanne,2019.00,2020.00,73.50,1.20,50.00,-,-,100.00,100.00,50.00,100.-,-
Le Sentier (fraction),2019.00,2021.00,10.00,-,-,-,-,-,-,-,-,-
Le Vaud,2019.00,2020.00,74.00,1.50,50.00,-,-,100.00,100.00,50.00,100.-,-
Les Bioux (fraction),2018.00,2020.00,4.00,-,-,-,-,-,-,-,-,-
Les Clées,2017.00,2022.00,80.00,0.60,50.00,-,-,100.00,100.00,50.00,40.-,-
Leysin,2019.00,2020.00,78.00,1.50,50.00,50.00,-,100.00,100.00,50.00,100.-,15
Lignerolle,2019.00,2020.00,78.50,0.70,50.00,-,-,100.00,100.00,50.00,1.-p/Fr,-
Lonay,2019.00,2020.00,55.00,1.00,50.00,100.00,100.00,100.00,100.00,50.00,100.-,-
Longirod,2019.00,2020.00,77.50,1.00,50.00,-,-,80.00,100.00,50.00,90.-,-
Lovatens,2018.00,2021.00,75.00,0.70,50.00,50.00,50.00,100.00,100.00,50.00,60.-,100 cts
Lucens,2019.00,2020.00,67.50,1.10,50.00,50.00,50.00,100.00,100.00,50.00,100.-,10
Luins,2019.00,2020.00,58.50,1.50,50.00,40.00,40.00,100.00,100.00,30.00,0.60p/Fr,-
Lully,2019.00,2020.00,61.00,1.25,50.00,100.00,50.00,100.00,100.00,50.00,50.-,-
Lussery-Villars,2019.00,2020.00,75.00,1.00,50.00,30.00,30.00,50.00,100.00,50.00,60.-,-
Lussy-sur-Morges,2019.00,2020.00,66.00,1.00,50.00,50.00,50.00,50.00,100.00,50.00,1.-p/Fr,-
Lutry,2019.00,2021.00,54.00,0.70,50.00,-,-,100.00,100.00,50.00,100.-,-
Maracon,2019.00,2020.00,74.50,1.00,50.00,-,-,100.00,100.00,50.00,1.-p/Fr,-
Marchissy,2019.00,2020.00,77.50,1.00,50.00,50.00,50.00,100.00,100.00,50.00,80.-,-
Mathod,2019.00,2020.00,72.00,1.20,50.00,100.00,100.00,100.00,100.00,50.00,100.-,-
Mauborget,2019.00,2021.00,70.00,1.20,50.00,50.00,50.00,100.00,100.00,50.00,50.-,-
Mauraz,2019.00,2020.00,77.00,1.00,-,50.00,50.00,100.00,100.00,-,20.-,-
Mex,2019.00,2020.00,59.50,1.00,50.00,50.00,-,50.00,100.00,50.00,60.-,-
Mies,2019.00,2020.00,52.00,1.00,50.00,-,-,75.00,75.00,50.00,50.-,-
